"city","lat","lng","country","population"
"Tokyo","35.6897","139.6922","Japan","37732000"
"Jakarta","-6.1750","106.8275","Indonesia","33756000"
"Delhi","28.6100","77.2300","India","32226000"
"Manila","14.5958","120.9772","Philippines","24922000"
"Dhaka","23.7639","90.3889","Bangladesh","18627000"
"Beijing","39.9067","116.3975","China","18522000"
"Moscow","55.7558","37.6172","Russia","17332000"
"Karachi","24.8600","67.0100","Pakistan","15738000"
"Ho Chi Minh City","10.7756","106.7019","Vietnam","15136000"
"Singapore","1.3000","103.8000","Singapore","5983000"
"Tashkent","41.3111","69.2797","Uzbekistan","2956384"
"Phnom Penh","11.5694","104.9211","Cambodia","2129371"
"Bishkek","42.8747","74.6122","Kyrgyzstan","1120827"
"Tbilisi","41.7225","44.7925","Georgia","1118035"
"Sri Jayewardenepura Kotte","6.9108","79.8878","Sri Lanka","115826"
